family_id	n_members	graph_score	core_cols	n_scored
FAM285	4	0.192	489	4
FAM286	4	0.12	325	4
FAM287	3	0.147	1230	3
FAM288	3	0.823	7551	3
FAM289	3	0.033	149	3
FAM290	3	0.178	748	3
FAM291	3	0.721	2018	3
FAM292	3	0.293	1886	3
FAM293	3	1.0	1684	3
FAM294	3	1.0	1426	3
FAM295	3	0.048	78	3
FAM296	3	0.23	933	3
FAM297	3	0.473	707	3
FAM298	3	0.315	722	3
FAM299	3	0.609	627	3
FAM300	3	0.862	755	3
FAM301	3	1.0	623	3
FAM302	3	0.703	463	3
FAM303	3	0.078	371	3
FAM304	3	0.053	117	3
FAM305	3	0.734	376	3
FAM306	3	0.532	1699	3
FAM307	3	0.166	601	3
FAM308	3	0.544	1348	3
FAM309	3	0.835	1398	3
FAM310	3	0.69	1551	3
FAM311	3	0.121	262	3
FAM312	3	0.028	63	3
FAM313	3	0.86	3157	3
FAM314	3	0.427	2464	3
FAM315	3	0.653	824	3
FAM316	3	0.055	41	3
FAM317	3	0.643	2488	3
FAM318	3	0.705	957	3
FAM319	3	0.147	321	3
FAM320	3	0.724	471	3
FAM321	3	0.159	395	3
FAM322	3	0.347	177	3
FAM323	3	0.032	233	3
FAM324	3	0.922	1903	3
FAM325	3	0.755	710	3
FAM326	3	0.63	274	3
FAM327	3	0.126	64	3
FAM328	3	0.179	1895	3
FAM329	3	0.922	3057	3
FAM330	3	0.273	761	3
FAM331	3	0.026	80	3
FAM332	3	0.516	959	3
FAM333	3	0.266	814	3
FAM334	3	0.027	68	3
FAM335	3	0.032	123	3
FAM336	3	0.443	1262	3
FAM337	3	0.226	460	3
FAM338	3	0.227	829	3
FAM339	3	0.318	1495	3
FAM340	3	0.097	224	3
FAM341	3	0.147	220	3
FAM342	3	0.026	139	3
FAM343	3	0.642	927	3
FAM344	3	0.996	1156	3
FAM345	3	0.477	622	3
FAM346	3	0.7	3047	3
FAM347	3	0.666	1191	3
FAM348	3	0.344	891	3
FAM349	3	0.652	301	3
FAM350	3	0.371	1096	3
FAM351	3	0.397	482	3
