# SECTION nodes (mult>=2)
node_id	multiplicity	n_genes	cyclic	is_repeat_m5	n_transcripts	softmask_frac
3795516	25	25	0	1	33	1.0
6230203	25	25	1	1	31	0.9924
20635671	25	25	1	1	28	1.0
42419322	25	25	1	1	27	0.7213
42980627	25	25	1	1	30	0.3556
67108864	25	25	0	1	28	1.0
71582784	25	25	0	1	28	1.0
76122231	25	25	0	1	30	1.0
77733908	25	25	1	1	27	1.0
79328325	25	25	0	1	27	1.0
88746170	25	25	0	1	25	0.0
122503164	25	25	0	1	26	1.0
134574979	25	25	1	1	26	1.0
155975736	25	25	0	1	26	1.0
17	24	24	0	1	27	1.0
55	24	24	0	1	31	1.0
132	24	24	0	1	26	1.0
65540	24	24	0	1	31	1.0
200704	24	24	0	1	25	1.0
2620740	24	24	1	1	28	0.5312
9950483	24	24	1	1	28	0.5161
10604830	24	24	1	1	26	0.6458
11400516	24	24	1	1	25	0.4828
19958845	24	24	1	1	32	0.9868
30770642	24	24	0	1	31	1.0
30901715	24	24	1	1	24	1.0
39260219	24	24	1	1	29	0.6471
41492861	24	24	1	1	29	0.9474
47374868	24	24	0	1	29	1.0
49035323	24	24	1	1	26	0.9074
59488834	24	24	1	1	26	0.9706
64873374	24	24	1	1	26	0.7097
77880913	24	24	0	1	26	1.0
80879828	24	24	1	1	27	0.0
83130653	24	24	1	1	31	0.5385
83226909	24	24	1	1	26	0.7667
87811402	24	24	0	1	25	1.0
97564894	24	24	0	1	33	1.0
109803127	24	24	0	1	27	1.0
121365834	24	24	0	1	26	1.0
126917957	24	24	0	1	27	1.0
127032581	24	24	0	1	26	1.0
139681428	24	24	1	1	26	1.0
147883317	24	24	0	1	25	1.0
155523450	24	24	0	1	27	1.0
155531642	24	24	0	1	29	1.0
155685202	24	24	0	1	24	1.0
157652569	24	24	1	1	28	1.0
167040237	24	24	0	1	25	1.0
173581998	24	24	0	1	27	1.0
183134417	24	24	0	1	25	1.0
199082292	24	24	0	1	25	0.0
240960340	24	24	0	1	27	1.0
7	23	23	0	1	27	1.0
21	23	23	0	1	28	1.0
41	23	23	0	1	27	1.0
243	23	23	0	1	26	1.0
356611	23	23	1	1	26	0.9167
390019	23	23	1	1	24	0.3077
787200	23	23	0	1	26	1.0
1426446	23	23	1	1	27	0.9474
2097152	23	23	0	1	28	1.0
5978171	23	23	1	1	24	0.36
7845696	23	23	0	1	30	1.0
9958724	23	23	1	1	25	0.0
15481019	23	23	1	1	26	0.8
31382784	23	23	0	1	28	1.0
44037970	23	23	1	1	25	0.7059
49035451	23	23	1	1	25	0.9889
64872074	23	23	0	1	24	0.0
78258197	23	23	1	1	23	0.6341
79328485	23	23	1	1	28	1.0
80658689	23	23	0	1	25	1.0
91976704	23	23	0	1	25	1.0
97750341	23	23	0	1	26	1.0
104294865	23	23	1	1	28	1.0
104327633	23	23	1	1	28	1.0
129747274	23	23	0	1	30	1.0
155523418	23	23	1	1	28	1.0
164750487	23	23	0	1	26	1.0
165819493	23	23	0	1	24	1.0
166358714	23	23	0	1	28	1.0
170447352	23	23	0	1	29	1.0
170517178	23	23	0	1	29	1.0
200401422	23	23	0	1	24	1.0
240	22	22	0	1	30	1.0
640	22	22	0	1	26	1.0
32770	22	22	0	1	25	1.0
278543	22	22	0	1	29	1.0
1404380	22	22	0	1	24	1.0
2356548	22	22	1	1	28	0.1731
5451835	22	22	1	1	23	0.4667
5765179	22	22	1	1	25	0.6757
7727476	22	22	0	1	27	1.0
10878276	22	22	1	1	23	0.4194
17338375	22	22	1	1	23	1.0
17340423	22	22	0	1	25	1.0
19030557	22	22	0	1	25	1.0
19063325	22	22	0	1	23	1.0
20219957	22	22	1	1	25	0.0
23010308	22	22	1	1	29	0.6471
30610056	22	22	1	1	24	0.5405
30902736	22	22	0	1	26	1.0
33899791	22	22	0	1	26	1.0
34531842	22	22	1	1	25	1.0
39270457	22	22	1	1	24	0.1154
39801935	22	22	1	1	28	0.5588
41260886	22	22	0	1	25	1.0
41460898	22	22	0	1	24	1.0
61575748	22	22	0	1	23	1.0
61907694	22	22	1	1	24	0.5278
62447854	22	22	1	1	29	0.2632
76082745	22	22	0	1	22	0.0
76828020	22	22	0	1	24	0.0
78570577	22	22	0	1	24	1.0
81125613	22	22	0	1	22	0.0
82625742	22	22	0	1	23	1.0
82727838	22	22	0	1	23	1.0
83898624	22	22	1	1	25	1.0
97435905	22	22	0	1	23	1.0
122838690	22	22	0	1	24	1.0
125446626	22	22	0	1	25	1.0
128589845	22	22	1	1	23	0.5862
128589973	22	22	0	1	26	0.0385
134574339	22	22	1	1	26	1.0
138038789	22	22	0	1	23	1.0
139559249	22	22	1	1	22	1.0
155333861	22	22	0	1	23	1.0
155531602	22	22	0	1	25	1.0
169929016	22	22	0	1	23	1.0
171867685	22	22	1	1	22	1.0
172640465	22	22	0	1	25	1.0
174449940	22	22	0	1	25	1.0
194945996	22	22	0	1	26	1.0
37	21	21	1	1	24	1.0
53	21	21	0	1	22	1.0
136	21	21	0	1	22	1.0
15508	21	21	1	1	22	1.0
16388	21	21	0	1	24	1.0
32776	21	21	1	1	27	1.0
131072	21	21	1	1	23	1.0
357123	21	21	1	1	21	0.4
526344	21	21	0	1	23	1.0
786624	21	21	0	1	25	1.0
8780100	21	21	1	1	23	0.2963
9426195	21	21	1	1	27	0.2308
10474769	21	21	0	1	25	0.0
11006276	21	21	1	1	26	0.3125
11270005	21	21	1	1	24	0.6538
16778497	21	21	0	1	22	1.0
20111381	21	21	0	1	22	1.0
20187197	21	21	1	1	21	0.4
20595948	21	21	0	1	22	1.0
30901755	21	21	0	1	23	1.0
34529538	21	21	1	1	24	0.7778
34531584	21	21	1	1	24	1.0
39794747	21	21	1	1	22	0.32
41550157	21	21	0	1	22	1.0
42988819	21	21	1	1	26	0.2069
44029200	21	21	1	1	21	0.5909
49154107	21	21	1	1	25	0.9375
51707413	21	21	0	1	21	1.0
59125518	21	21	0	1	21	1.0
63828923	21	21	1	1	24	0.9388
64200328	21	21	1	1	24	0.5
71582789	21	21	0	1	26	1.0
76248695	21	21	0	1	26	1.0
78533713	21	21	0	1	25	1.0
83142894	21	21	0	1	21	0.0
85222761	21	21	0	1	22	1.0
125761874	21	21	1	1	23	1.0
125841664	21	21	1	1	24	1.0
126341251	21	21	0	1	24	1.0
143165576	21	21	1	1	22	1.0
143381278	21	21	1	1	23	0.8056
145197642	21	21	0	1	24	1.0
147919993	21	21	0	1	22	1.0
155523410	21	21	0	1	23	1.0
157430885	21	21	0	1	28	1.0
157431013	21	21	0	1	25	1.0
157961914	21	21	0	1	22	1.0
166466001	21	21	1	1	22	1.0
200925710	21	21	0	1	22	1.0
18	20	20	0	1	24	1.0
20	20	20	1	1	24	1.0
3877	20	20	1	1	22	1.0
50176	20	20	0	1	22	1.0
197379	20	20	0	1	23	1.0
263168	20	20	0	1	23	1.0
3148803	20	20	0	1	22	1.0
4260864	20	20	0	1	24	1.0
4260880	20	20	1	1	22	1.0
4989711	20	20	1	1	27	1.0
